Name	Start	Duration	Time Format	Type	Description
4-1	0:00.000	0:17.488	decimal	Cue	
4-2	0:17.488	0:06.117	decimal	Cue	
4-3	0:23.605	0:19.235	decimal	Cue	
4-4	0:45.382	0:26.940	decimal	Cue	
4-5	1:12.322	0:08.498	decimal	Cue	
4-6	1:20.820	0:03.594	decimal	Cue	
4-7	1:24.415	0:03.459	decimal	Cue	
4-8	1:27.874	0:02.636	decimal	Cue	
4-9	1:30.511	0:05.495	decimal	Cue	
4-10	1:36.006	0:11.437	decimal	Cue	
4-11	1:47.444	0:26.581	decimal	Cue	
4-12	2:14.026	0:13.114	decimal	Cue	
4-13	2:27.141	0:29.001	decimal	Cue	
4-19	2:56.143	0:02.849	decimal	Cue	
4-20	2:58.992	0:02.492	decimal	Cue	
4-21	3:01.484	0:02.453	decimal	Cue	
4-22	3:03.938	0:02.044	decimal	Cue	
4-23	3:05.982	0:12.861	decimal	Cue	
4-24	3:18.844	0:15.824	decimal	Cue	
4-25	3:34.669	0:06.285	decimal	Cue	
4-26	3:40.954	0:11.947	decimal	Cue	
4-27	3:53.900	0:09.229	decimal	Cue	
4-28	4:03.477	0:08.491	decimal	Cue	
4-29	4:12.553	0:12.013	decimal	Cue	
4-30	4:26.115	0:08.884	decimal	Cue	
4-31	4:36.176	0:11.733	decimal	Cue	
4-32	4:48.000	0:08.818	decimal	Cue	
4-33	4:56.818	0:03.181	decimal	Cue	
4-34	5:02.503	0:09.211	decimal	Cue	
4-35	5:12.013	0:03.204	decimal	Cue	
4-36	5:15.624	0:09.397	decimal	Cue	
4-37	5:25.258	0:02.449	decimal	Cue	
4-38	5:27.708	0:12.112	decimal	Cue	
4-39	5:39.820	0:05.045	decimal	Cue	
4-40	5:45.426	0:06.690	decimal	Cue	
4-41	5:53.501	0:03.163	decimal	Cue	
4-42	5:56.664	0:14.315	decimal	Cue	
4-43	6:10.980	0:13.463	decimal	Cue	
4-44	6:25.094	0:07.418	decimal	Cue	
4-45	6:32.513	0:10.825	decimal	Cue	
4-46	6:43.673	0:05.308	decimal	Cue	
4-47	6:49.521	0:11.529	decimal	Cue	
